skill_name,init_files,bddl_files,combined_path,object
"""pick moka pot""",pick_moka_pot.init,KITCHEN_SCENE8_put_the_right_moka_pot_on_the_stove_pick.bddl; KITCHEN_SCENE3_put_the_moka_pot_on_the_stove_pick.bddl,datasets/hdf5_datasets/atomic_local_demos_augmented_pick_10_place_15_atomic_15/combined_by_language/pick_moka_pot_original.hdf5,moka_pot_1_main
"""place moka pot on the stove 2""",place_moka_pot_on_the_stove.init,KITCHEN_SCENE3_put_the_moka_pot_on_the_stove_place.bddl,datasets/hdf5_datasets/atomic_local_demos_augmented_pick_10_place_15_atomic_15/combined_by_language/place_moka_pot_on_the_stove_original.hdf5,flat_stove_1_main
"""turn on the stove 2""",turn_on_the_stove.init,KITCHEN_SCENE9_turn_on_the_stove.bddl; KITCHEN_SCENE3_turn_on_the_stove.bddl,datasets/hdf5_datasets/atomic_local_demos_augmented_pick_10_place_15_atomic_15/combined_by_language/turn_on_the_stove_original.hdf5,flat_stove_1_main
"""pick frying pan""",pick_frying_pan.init,KITCHEN_SCENE9_put_the_frying_pan_on_top_of_the_cabinet_pick.bddl; KITCHEN_SCENE9_put_the_frying_pan_on_the_cabinet_shelf_pick.bddl; KITCHEN_SCENE3_put_the_frying_pan_on_the_stove_pick.bddl,datasets/hdf5_datasets/atomic_local_demos_augmented_pick_10_place_15_atomic_15/combined_by_language/pick_frying_pan_original.hdf5,chefmate_8_frypan_1_main
"""place frying pan on the stove 1""",place_frying_pan_on_the_stove.init,KITCHEN_SCENE3_put_the_frying_pan_on_the_stove_place.bddl,datasets/hdf5_datasets/atomic_local_demos_augmented_pick_10_place_15_atomic_15/combined_by_language/place_frying_pan_on_the_stove_original.hdf5,flat_stove_1_main
"""turn on the stove 1""",turn_on_the_stove.init,KITCHEN_SCENE9_turn_on_the_stove.bddl; KITCHEN_SCENE3_turn_on_the_stove.bddl,datasets/hdf5_datasets/atomic_local_demos_augmented_pick_10_place_15_atomic_15/combined_by_language/turn_on_the_stove_original.hdf5,flat_stove_1_main
"""open the microwave 1""",open_the_microwave.init,KITCHEN_SCENE7_open_the_microwave.bddl,datasets/hdf5_datasets/atomic_local_demos_augmented_pick_10_place_15_atomic_15/combined_by_language/open_the_microwave_original.hdf5,microwave_1_main
"""pick black bowl 1""",pick_black_bowl.init,KITCHEN_SCENE2_put_the_black_bowl_at_the_front_on_the_plate_pick.bddl; KITCHEN_SCENE5_put_the_black_bowl_in_the_top_drawer_of_the_cabinet_pick.bddl; KITCHEN_SCENE2_put_the_middle_black_bowl_on_top_of_the_cabinet_pick.bddl; KITCHEN_SCENE4_put_the_black_bowl_on_top_of_the_cabinet_pick.bddl; KITCHEN_SCENE2_put_the_middle_black_bowl_on_the_plate_pick.bddl; KITCHEN_SCENE10_put_the_black_bowl_in_the_top_drawer_of_the_cabinet_pick.bddl; KITCHEN_SCENE2_stack_the_middle_black_bowl_on_the_back_black_bowl_pick.bddl; KITCHEN_SCENE5_put_the_black_bowl_on_the_plate_pick.bddl; KITCHEN_SCENE2_put_the_black_bowl_at_the_back_on_the_plate_pick.bddl; KITCHEN_SCENE1_put_the_black_bowl_on_the_plate_pick.bddl; KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_pick.bddl; KITCHEN_SCENE5_put_the_black_bowl_on_top_of_the_cabinet_pick.bddl; KITCHEN_SCENE2_stack_the_black_bowl_at_the_front_on_the_black_bowl_in_the_middle_pick.bddl; KITCHEN_SCENE1_put_the_black_bowl_on_top_of_the_cabinet_pick.bddl,datasets/hdf5_datasets/atomic_local_demos_augmented_pick_10_place_15_atomic_15/combined_by_language/pick_black_bowl_original.hdf5,akita_black_bowl_1_main
"""place black bowl 1 on the plate 1""",place_black_bowl_on_the_plate.init,KITCHEN_SCENE2_put_the_middle_black_bowl_on_the_plate_place.bddl; KITCHEN_SCENE1_put_the_black_bowl_on_the_plate_place.bddl; KITCHEN_SCENE2_put_the_black_bowl_at_the_front_on_the_plate_place.bddl; KITCHEN_SCENE5_put_the_black_bowl_on_the_plate_place.bddl; KITCHEN_SCENE2_put_the_black_bowl_at_the_back_on_the_plate_place.bddl,datasets/hdf5_datasets/atomic_local_demos_augmented_pick_10_place_15_atomic_15/combined_by_language/place_black_bowl_on_the_plate_original.hdf5,plate_1_main
"""pick black bowl 2""",pick_black_bowl.init,KITCHEN_SCENE2_put_the_black_bowl_at_the_front_on_the_plate_pick.bddl; KITCHEN_SCENE5_put_the_black_bowl_in_the_top_drawer_of_the_cabinet_pick.bddl; KITCHEN_SCENE2_put_the_middle_black_bowl_on_top_of_the_cabinet_pick.bddl; KITCHEN_SCENE4_put_the_black_bowl_on_top_of_the_cabinet_pick.bddl; KITCHEN_SCENE2_put_the_middle_black_bowl_on_the_plate_pick.bddl; KITCHEN_SCENE10_put_the_black_bowl_in_the_top_drawer_of_the_cabinet_pick.bddl; KITCHEN_SCENE2_stack_the_middle_black_bowl_on_the_back_black_bowl_pick.bddl; KITCHEN_SCENE5_put_the_black_bowl_on_the_plate_pick.bddl; KITCHEN_SCENE2_put_the_black_bowl_at_the_back_on_the_plate_pick.bddl; KITCHEN_SCENE1_put_the_black_bowl_on_the_plate_pick.bddl; KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_pick.bddl; KITCHEN_SCENE5_put_the_black_bowl_on_top_of_the_cabinet_pick.bddl; KITCHEN_SCENE2_stack_the_black_bowl_at_the_front_on_the_black_bowl_in_the_middle_pick.bddl; KITCHEN_SCENE1_put_the_black_bowl_on_top_of_the_cabinet_pick.bddl,datasets/hdf5_datasets/atomic_local_demos_augmented_pick_10_place_15_atomic_15/combined_by_language/pick_black_bowl_original.hdf5,akita_black_bowl_2_main
